Carátula,Programa,Emisión,Tiempo,Tipo de música,Likes,Comentarios,Antigüedad,Reproducir
https://static-2.ivoox.com/canales/7/1/4/0/8021554710417_SM.jpg,Sofá sonoro,Sofá Sonoro: The Specials y el ska para luchar contra el fascismo (02/11/19),31:23,Blues y Jazz,6,0,5 días,https://www.ivoox.com/sofa-sonoro-the-specials-ska-para-audios-mp3_rf_43827223_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1716 (New York Voices),58:04,Blues y Jazz,11,0,29 días,https://www.ivoox.com/cloud-jazz-n-1716-new-york-voices-audios-mp3_rf_42903344_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1719 (Jeremy Monteiro),01:00:02,Blues y Jazz,9,0,23 días,https://www.ivoox.com/cloud-jazz-n-1719-jeremy-monteiro-audios-mp3_rf_43062877_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1720 (Brandon Lane),58:28,Blues y Jazz,5,0,21 días,https://www.ivoox.com/cloud-jazz-n-1720-brandon-lane-audios-mp3_rf_43213503_1.html?autoplay=true
https://static-1.ivoox.com/audios/6/4/7/6/1121571076746_SM.jpg,El Faro del JAZZ,El faro del jazz - 1x09 - Jazznesis Parte 2,01:48:03,Blues y Jazz,10,4,24 días,https://www.ivoox.com/faro-del-jazz-1x09-jazznesis-audios-mp3_rf_43048389_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1724 (Kraak & Smaak),57:57,Blues y Jazz,5,4,14 días,https://www.ivoox.com/cloud-jazz-n-1724-kraak-amp-smaak-audios-mp3_rf_43498838_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/7/4/5/6291552535476_SM.jpg,Sólo jazz,Solo Jazz - La serena belleza de las baladas - 14/10/19,58:35,Blues y Jazz,8,0,24 días,https://www.ivoox.com/solo-jazz-la-serena-belleza-las-audios-mp3_rf_43039968_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1722 (Kirk Whalum),56:57,Blues y Jazz,7,2,17 días,https://www.ivoox.com/cloud-jazz-n-1722-kirk-whalum-audios-mp3_rf_43308029_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/5/4/0/2571552460456_SM.jpg,Saltamontes,Saltamontes - JAZZ: Recordando a Roy Hargrove - 01/11/19,59:01,Blues y Jazz,4,0,6 días,https://www.ivoox.com/saltamontes-jazz-recordando-a-roy-hargrove-audios-mp3_rf_43812884_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/7/4/5/6291552535476_SM.jpg,Sólo jazz,Solo jazz - La fantasía vocal de posguerra - 09/10/19,01:00:01,Blues y Jazz,4,0,28 días,https://www.ivoox.com/solo-jazz-la-fantasia-vocal-posguerra-audios-mp3_rf_42937614_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/5/4/0/2571552460456_SM.jpg,Saltamontes,Saltamontes - Frank Sinatra y Willie Nelson - 18/10/19,59:21,Blues y Jazz,5,0,20 días,https://www.ivoox.com/saltamontes-frank-sinatra-willie-nelson-audios-mp3_rf_43257735_1.html?autoplay=true
